"都道府県コード","都道府県名","元号","和暦（年）","西暦（年）","注","人口（総数）","人口（男）","人口（女）"
"01","北海道","大正",9,1920,"",2359183,1244322,1114861
"02","青森県","大正",9,1920,"",756454,381293,375161
"03","岩手県","大正",9,1920,"",845540,421069,424471
"04","宮城県","大正",9,1920,"",961768,485309,476459
"05","秋田県","大正",9,1920,"",898537,453682,444855
"06","山形県","大正",9,1920,"",968925,478328,490597
"07","福島県","大正",9,1920,"",1362750,673525,689225
"08","茨城県","大正",9,1920,"",1350400,662128,688272
"09","栃木県","大正",9,1920,"",1046479,514255,532224
"10","群馬県","大正",9,1920,"",1052610,514106,538504
"11","埼玉県","大正",9,1920,"",1319533,641161,678372
"12","千葉県","大正",9,1920,"",1336155,656968,679187
"13","東京都","大正",9,1920,"",3699428,1952989,1746439
"14","神奈川県","大正",9,1920,"",1323390,689751,633639
"15","新潟県","大正",9,1920,"",1776474,871532,904942
"16","富山県","大正",9,1920,"",724276,354775,369501
"17","石川県","大正",9,1920,"",747360,364375,382985
"18","福井県","大正",9,1920,"",599155,293181,305974
"19","山梨県","大正",9,1920,"",583453,290817,292636
"20","長野県","大正",9,1920,"",1562722,758639,804083
"21","岐阜県","大正",9,1920,"",1070407,536334,534073
"22","静岡県","大正",9,1920,"",1550387,774169,776218
"23","愛知県","大正",9,1920,"",2089762,1033860,1055902
"24","三重県","大正",9,1920,"",1069270,525957,543313
"25","滋賀県","大正",9,1920,"",651050,313737,337313
"26","京都府","大正",9,1920,"",1287147,650780,636367
"27","大阪府","大正",9,1920,"",2587847,1344846,1243001
"28","兵庫県","大正",9,1920,"",2301799,1175426,1126373
"29","奈良県","大正",9,1920,"",564607,280383,284224
"30","和歌山県","大正",9,1920,"",750411,372058,378353
"31","鳥取県","大正",9,1920,"",454675,222802,231873
"32","島根県","大正",9,1920,"",714712,354959,359753
"33","岡山県","大正",9,1920,"",1217698,605316,612382
"34","広島県","大正",9,1920,"",1541905,775080,766825
"35","山口県","大正",9,1920,"",1041013,521041,519972
"36","徳島県","大正",9,1920,"",670212,331768,338444
"37","香川県","大正",9,1920,"",677852,336195,341657
"38","愛媛県","大正",9,1920,"",1046720,515389,531331
"39","高知県","大正",9,1920,"",670895,332087,338808
"40","福岡県","大正",9,1920,"",2188249,1116818,1071431
"41","佐賀県","大正",9,1920,"",673895,329962,343933
"42","長崎県","大正",9,1920,"",1136182,584234,551948
"43","熊本県","大正",9,1920,"",1233233,602389,630844
"44","大分県","大正",9,1920,"",860282,422708,437574
"45","宮崎県","大正",9,1920,"",651097,326610,324487
"46","鹿児島県","大正",9,1920,"",1415582,682243,733339
"47","沖縄県","大正",9,1920,"",571572,274829,296743
